,variable,coef,std_err,t,p_value,ci_lower,ci_upper,显著性
const,const,-0.071868,0.08369,-0.8587,0.39049,-0.23590165868380103,0.09216586143562573,
Duration,Duration,0.001651,0.002213,0.7459,0.455758,-0.0026870130479822144,0.005988281239069368,
Engagement_Score,Engagement_Score,0.247708,0.002894,85.5938,0.0,0.24203593833545428,0.253380438584757,***
Acquisition_Cost,Acquisition_Cost,-0.001844,3.4e-05,-54.2663,0.0,-0.0019105138238340279,-0.0017773157906440405,***
CT_Influencer,CT_Influencer,-0.018483,0.0526,-0.3514,0.725297,-0.12157867894829241,0.08461270050049918,
CT_Paid Ads,CT_Paid Ads,0.037932,0.052621,0.7208,0.471006,-0.06520602052045901,0.14106970068346283,
CT_SEO,CT_SEO,0.033914,0.052663,0.644,0.519588,-0.06930612868730128,0.13713493112195058,
CT_Social Media,CT_Social Media,0.035889,0.052626,0.682,0.495267,-0.06725810243972491,0.13903548610166316,
English,English,0.004719,0.047149,0.1001,0.920273,-0.08769291457413032,0.09713114657780823,
Hindi,Hindi,0.062534,0.047057,1.3289,0.183891,-0.02969891510214827,0.1547670666354149,
Tamil,Tamil,-0.006238,0.047142,-0.1323,0.89472,-0.0986362623129105,0.08615928574067927,
Premium Shoppers,Premium Shoppers,0.074992,0.05258,1.4262,0.153807,-0.028065907674614005,0.178048929730034,
Tier 2 City Customers,Tier 2 City Customers,-0.01619,0.052679,-0.3073,0.758586,-0.11944099393292099,0.08706042570860545,
Working Women,Working Women,-0.046801,0.052534,-0.8909,0.372997,-0.1497677026460531,0.056165197236622375,
Youth,Youth,0.013304,0.052839,0.2518,0.801209,-0.0902601120770896,0.11686788015951392,
