月份,活动数,曝光数,点击数,线索数,成交数,点击率,成交率,平均ROI,总收入
2024-07,5005,277905211,23859179,9492789,5224622,8.59,55.04,2.8094,2630226313
2024-08,4943,273391259,23403717,9442245,5187225,8.56,54.94,2.7678,2597876736
2024-09,4671,258904288,21798802,8649290,4791725,8.42,55.40,2.6729,2390680030
2024-10,5068,280334973,23809614,9442969,5193529,8.49,55.00,2.6168,2583203421
2024-11,4825,266602979,22829573,9155843,5070569,8.56,55.38,2.7483,2523763004
2024-12,4964,273548550,23447766,9362883,5148613,8.57,54.99,2.7126,2586353806
2025-01,4917,270585890,22892584,9150459,5028996,8.46,54.96,2.6541,2521812438
2025-02,4511,246809366,21063975,8497994,4716303,8.53,55.50,2.7583,2333105678
2025-03,4952,271419955,23148293,9345054,5139085,8.53,54.99,2.7338,2570717938
2025-04,4847,266920970,22572688,9078069,4951704,8.46,54.55,2.6442,2439364737
2025-05,5018,272914476,23160382,9275033,5082964,8.49,54.80,2.7773,2572782370
2025-06,1834,101069554,8459184,3399169,1845587,8.37,54.30,2.5991,906477811
